#,,"generated_by='OpenQuake engine 3.11.5', start_date='2022-09-29T17:52:19', checksum=3422477514"
site_id,event_id,gmv_PGA
0,0,1.20847E-02
1,0,4.05934E-02
2,0,2.36021E-02
3,0,3.65250E-03
4,0,1.71630E-03
5,0,1.83400E-03
6,0,1.27896E-03
7,0,1.47133E-02
8,0,1.64869E-02
9,0,2.31837E-02
10,0,4.87194E-03
11,0,9.48668E-03
12,0,3.15204E-02
13,0,5.26939E-03
14,0,9.93888E-03
15,0,1.83058E-03
16,0,2.35868E-03
17,0,1.55012E-02
18,0,2.96805E-03
19,0,1.20412E-02
20,0,8.60233E-03
21,0,1.87319E-03
22,0,5.63947E-03
23,0,2.55327E-03
24,0,3.23743E-03
25,0,1.07814E-02
26,0,4.88413E-03
27,0,3.38246E-03
28,0,1.56966E-02
29,0,4.84263E-03
30,0,1.90460E-02
31,0,9.78658E-03
32,0,1.32449E-03
33,0,2.23174E-02
34,0,6.43988E-02
35,0,1.17200E-02
36,0,2.25486E-03
37,0,2.63550E-03
38,0,8.59616E-03
39,0,1.46262E-02
40,0,1.71186E-03
41,0,2.60412E-02
42,0,6.48461E-03
43,0,2.71173E-02
44,0,5.42366E-03
45,0,1.71701E-02
46,0,2.75502E-03
47,0,2.19294E-02
48,0,2.05557E-02
49,0,4.40455E-03
50,0,2.03266E-02
51,0,5.93072E-03
52,0,1.78522E-02
53,0,6.60719E-03
54,0,1.78552E-02
55,0,1.33760E-02
56,0,1.33162E-03
57,0,8.33633E-03
58,0,1.34452E-03
59,0,2.55030E-03
60,0,6.61594E-03
61,0,1.11639E-02
62,0,2.06737E-02
63,0,1.13374E-02
64,0,5.69513E-03
65,0,5.86841E-03
66,0,2.84818E-03
67,0,3.40373E-02
68,0,4.12919E-03
69,0,1.08878E-02
70,0,2.72291E-02
71,0,5.01047E-03
72,0,6.11599E-03
73,0,6.55936E-03
74,0,1.37117E-02
75,0,9.75452E-03
76,0,1.33394E-02
77,0,9.52489E-03
78,0,1.52047E-02
79,0,3.12566E-03
80,0,1.34862E-02
81,0,1.42716E-02
82,0,5.03817E-03
83,0,8.71884E-03
84,0,2.65721E-03
85,0,1.30487E-01
86,0,4.07779E-03
87,0,3.77479E-03
88,0,6.92567E-03
89,0,1.01424E-02
90,0,7.54135E-03
91,0,3.04357E-02
92,0,1.55269E-02
93,0,1.92102E-01
94,0,1.91715E-02
95,0,8.86588E-03
96,0,3.22341E-03
97,0,3.53034E-03
98,0,7.89832E-03
99,0,7.94489E-03
100,0,5.76822E-03
101,0,2.62726E-02
102,0,1.00870E-02
103,0,1.98845E-02
104,0,3.01431E-02
105,0,8.63725E-03
106,0,6.47481E-03
107,0,5.61440E-03
108,0,3.35084E-03
109,0,6.19540E-03
110,0,4.85389E-03
111,0,6.09448E-03
112,0,3.79032E-02
113,0,1.90609E-02
114,0,1.03420E-02
115,0,5.69453E-02
116,0,2.57172E-02
117,0,1.30976E-02
118,0,2.46519E-02
119,0,3.55149E-03
120,0,2.32172E-01
121,0,5.40845E-02
122,0,2.49239E-03
123,0,1.12205E-02
124,0,4.61199E-03
125,0,3.14222E-03
126,0,2.81541E-02
127,0,7.22955E-03
128,0,1.89920E-03
129,0,8.98905E-03
130,0,2.46296E-03
131,0,7.83255E-02
132,0,2.67274E-03
133,0,6.25525E-03
134,0,2.07675E-02
135,0,3.44877E-03
136,0,3.35463E-02
137,0,2.00420E-02
138,0,2.39271E-03
139,0,2.90145E-02
140,0,1.06810E-02
141,0,1.08276E-01
142,0,6.54321E-03
143,0,1.57669E-02
144,0,2.42463E-03
145,0,2.16023E-03
146,0,1.88553E-01
147,0,4.82932E-03
148,0,1.05614E-02
149,0,8.23225E-03
150,0,4.52712E-02
151,0,8.12120E-03
152,0,6.12692E-03
153,0,1.73744E-01
154,0,1.08469E-01
155,0,7.11020E-02
156,0,5.01801E-03
157,0,1.63594E-02
158,0,8.71895E-02
159,0,6.21402E-03
160,0,1.95860E-02
161,0,1.28901E-02
162,0,7.23469E-03
163,0,1.35842E-02
164,0,2.35172E-03
165,0,2.40751E-01
166,0,1.34448E-02
167,0,1.88610E-03
168,0,1.45166E-03
169,0,1.58634E-02
170,0,6.08028E-03
171,0,6.38171E-03
172,0,1.01070E-02
173,0,4.05247E-03
174,0,4.51235E-03
175,0,8.19097E-02
176,0,8.64658E-03
177,0,5.95764E-03
178,0,6.18308E-02
179,0,8.96251E-02
180,0,2.73513E-03
181,0,4.75513E-03
182,0,1.27325E-02
183,0,3.28878E-02
184,0,4.72948E-03
185,0,1.96465E-01
186,0,2.86990E-01
187,0,3.46721E-02
188,0,4.02697E-03
189,0,2.38234E-02
190,0,9.37784E-03
191,0,2.16170E-02
192,0,1.85340E-01
193,0,3.26981E-02
194,0,9.30640E-03
195,0,5.85544E-03
196,0,1.09639E-02
197,0,2.81553E-02
198,0,1.35461E-02
199,0,1.67853E-02
200,0,1.06517E-02
201,0,6.32574E-03
202,0,2.08106E-03
203,0,6.29640E-03
204,0,6.18324E-03
205,0,4.47072E-02
206,0,8.82181E-03
207,0,3.66298E-03
208,0,7.70772E-03
209,0,6.61008E-02
210,0,1.60045E-02
211,0,6.82803E-03
212,0,1.02496E-02
213,0,9.76769E-02
214,0,6.87428E-03
215,0,2.53908E-03
216,0,2.70803E-03
217,0,2.62096E-01
218,0,1.38515E-02
219,0,2.09592E-01
220,0,5.02879E-03
221,0,1.26606E-02
222,0,1.25739E-03
223,0,2.77085E-03
224,0,1.41496E-02
225,0,5.86210E-03
226,0,7.65733E-02
227,0,1.06120E-02
228,0,6.62854E-02
229,0,7.93912E-03
230,0,2.09640E-02
231,0,1.78229E-01
232,0,2.02021E-02
233,0,2.59099E-02
234,0,1.05742E-01
235,0,8.16279E-03
236,0,2.13262E-02
237,0,3.89691E-02
238,0,6.79984E-03
239,0,1.00893E-01
240,0,2.92594E-02
241,0,2.56347E-02
242,0,4.58240E-02
243,0,4.28556E-03
244,0,9.06510E-03
245,0,3.81340E-01
246,0,1.57030E-02
247,0,2.43278E-02
248,0,8.65195E-03
249,0,1.92295E-02
250,0,1.54112E-02
251,0,3.15338E-02
252,0,7.01256E-03
253,0,2.62059E-03
254,0,1.59018E-03
255,0,1.58927E-02
256,0,1.08577E-02
257,0,1.22463E-02
258,0,8.48201E-03
259,0,3.69515E-02
260,0,1.88207E-02
261,0,6.78767E-01
262,0,1.72490E-03
263,0,4.28543E-03
264,0,3.53945E-02
265,0,4.43926E-02
266,0,1.33682E-02
267,0,4.64108E-02
268,0,1.58004E-02
269,0,7.19768E-02
270,0,1.24329E-02
271,0,1.10430E-02
272,0,2.46117E-02
273,0,2.92655E-01
274,0,3.15502E-03
275,0,5.64397E-03
276,0,1.27758E-02
277,0,1.44049E-02
278,0,1.45706E-02
279,0,1.04345E-02
280,0,4.88708E-02
281,0,2.92426E-03
282,0,6.67384E-02
283,0,7.65337E-03
284,0,7.54072E-03
285,0,1.38460E-03
286,0,4.93062E-03
287,0,1.27556E-01
288,0,1.16459E-01
289,0,6.91932E-03
290,0,9.05814E-04
291,0,1.90315E-03
292,0,8.82426E-03
293,0,5.79740E-02
294,0,3.14319E-03
295,0,2.84121E-03
296,0,2.23842E-01
297,0,1.11962E-01
298,0,1.32604E-02
299,0,7.58311E-02
300,0,1.12748E-02
301,0,9.47883E-02
302,0,2.99549E-02
303,0,4.42798E-03
304,0,3.59153E-02
305,0,4.14193E-02
306,0,2.71494E-02
307,0,2.87069E-03
308,0,1.67317E-01
309,0,1.06693E-01
310,0,9.34654E-03
311,0,6.68548E-03
312,0,9.79777E-03
313,0,5.05553E-01
314,0,3.80143E-02
315,0,5.52884E-03
316,0,1.46389E-01
317,0,3.69707E-02
318,0,6.83016E-03
319,0,5.53458E-03
320,0,1.69937E-01
321,0,3.16891E-02
322,0,1.15677E-01
323,0,2.65365E-03
324,0,1.24445E-02
325,0,4.02929E-03
326,0,1.17238E-02
327,0,9.72543E-02
328,0,3.03896E-02
329,0,1.24758E-02
330,0,3.57803E-03
331,0,1.71455E-02
332,0,3.58521E-02
333,0,9.86989E-03
334,0,1.62631E-03
335,0,2.48536E-03
336,0,3.33096E-01
337,0,5.82160E-03
338,0,1.22325E-02
339,0,6.41356E-03
340,0,3.13936E-02
341,0,5.24854E-03
342,0,4.33898E-02
343,0,2.94469E-02
344,0,1.86915E-02
345,0,1.20091E-02
346,0,1.74049E-02
347,0,1.68337E-03
348,0,1.22113E-02
349,0,7.29898E-03
350,0,3.92167E-03
351,0,3.24687E-02
352,0,1.08812E-02
353,0,2.50295E-03
354,0,1.43085E-03
355,0,8.67313E-02
356,0,6.00413E-03
357,0,1.84570E-01
358,0,3.43448E-01
359,0,8.41934E-02
360,0,4.42722E-03
361,0,2.22197E-01
362,0,5.27462E-03
363,0,1.06261E-02
364,0,7.21289E-03
365,0,7.27982E-03
366,0,2.90017E-02
367,0,2.69027E-01
368,0,1.54170E-02
