site_id,lon,lat
0,26.33497,87.33749
1,26.36281,87.31639
2,26.36476,87.29532
3,26.36732,88.02632
4,26.36732,88.03484
5,26.36817,87.99874
6,26.36911,88.01738
7,26.37100,87.60231
8,26.37244,87.34797
9,26.37307,87.28722
10,26.37432,87.30484
11,26.37636,88.02342
12,26.37784,87.26620
13,26.37884,87.56560
14,26.37995,87.28470
15,26.38033,88.03432
16,26.38093,88.02081
17,26.38135,87.32857
18,26.38174,88.00467
19,26.38205,87.29093
20,26.38405,87.62439
21,26.38689,87.96517
22,26.38877,87.59738
23,26.38885,88.03226
24,26.38896,87.97733
25,26.38955,87.65423
26,26.38958,87.58546
27,26.38985,87.99978
28,26.38992,87.36175
29,26.39200,87.38406
30,26.39478,87.29940
31,26.39502,87.28136
32,26.39561,88.01644
33,26.39694,87.55798
34,26.39926,87.20001
35,26.40037,87.63929
36,26.40167,88.04587
37,26.40221,87.73644
38,26.40231,87.67341
39,26.40277,87.30478
40,26.40287,87.98753
41,26.40330,87.15573
42,26.40381,87.25149
43,26.40485,87.40128
44,26.40508,87.58948
45,26.40510,87.36927
46,26.40510,87.94461
47,26.40522,87.21292
48,26.40544,87.24433
49,26.40545,87.61461
50,26.40619,87.65238
51,26.40695,87.92650
52,26.40725,87.62871
53,26.40855,88.02344
54,26.40877,87.31701
55,26.40943,87.72044
56,26.40964,88.06581
57,26.41017,87.35922
58,26.41062,87.95316
59,26.41136,87.99742
60,26.41151,87.59559
61,26.41155,87.30524
62,26.41171,87.42014
63,26.41206,87.35130
64,26.41280,87.58567
65,26.41455,87.74615
66,26.41492,87.75943
67,26.41538,87.22160
68,26.41594,87.51482
69,26.41598,88.05271
70,26.41650,87.27255
71,26.41677,87.57452
72,26.41681,87.15701
73,26.41689,87.91757
74,26.41715,87.49781
75,26.41715,87.65197
76,26.41741,87.55618
77,26.41816,87.20075
78,26.41838,87.25058
79,26.41839,87.68611
80,26.41938,87.63501
81,26.41944,87.41941
82,26.41956,87.67167
83,26.42035,87.21301
84,26.42120,87.96297
85,26.42155,86.74761
86,26.42166,88.08305
87,26.42226,88.04119
88,26.42250,87.98519
89,26.42269,87.47045
90,26.42297,87.32655
91,26.42317,87.20521
92,26.42372,87.48478
93,26.42433,86.78352
94,26.42445,87.40102
95,26.42491,87.54197
96,26.42531,88.03281
97,26.42547,87.91003
98,26.42555,87.17230
99,26.42559,87.29558
100,26.42577,87.28224
101,26.42581,87.21144
102,26.42751,87.37006
103,26.42787,87.23728
104,26.42791,87.35689
105,26.42842,87.38666
106,26.42939,87.61795
107,26.43027,87.93555
108,26.43057,87.77464
109,26.43058,87.34572
110,26.43082,87.65827
111,26.43088,87.45687
112,26.43099,87.30446
113,26.43104,87.43538
114,26.43289,87.56349
115,26.43316,87.12834
116,26.43397,87.31394
117,26.43404,87.20246
118,26.43413,87.41770
119,26.43425,87.99353
120,26.43439,86.70508
121,26.43441,87.15962
122,26.43455,88.00336
123,26.43457,87.19076
124,26.43481,87.63238
125,26.43490,87.97035
126,26.43518,87.29319
127,26.43583,87.92335
128,26.43629,87.59694
129,26.43641,87.54630
130,26.43698,88.09590
131,26.43785,86.68581
132,26.43807,87.76200
133,26.43868,87.58601
134,26.43939,87.57405
135,26.43963,87.84062
136,26.44009,87.10330
137,26.44040,87.33597
138,26.44077,88.06588
139,26.44107,87.51744
140,26.44114,87.93026
141,26.44127,86.72984
142,26.44162,87.66799
143,26.44220,87.21134
144,26.44241,87.98815
145,26.44253,87.69788
146,26.44262,86.83834
147,26.44287,87.80990
148,26.44299,87.14482
149,26.44347,87.42853
150,26.44351,87.22042
151,26.44357,87.40441
152,26.44404,87.43675
153,26.44425,86.77835
154,26.44432,87.11862
155,26.44456,86.66660
156,26.44456,87.91895
157,26.44457,87.46165
158,26.44476,86.69692
159,26.44493,87.85890
160,26.44516,87.18073
161,26.44554,87.47034
162,26.44592,87.71364
163,26.44613,87.38555
164,26.44678,87.77729
165,26.44726,86.86711
166,26.44747,87.27084
167,26.44772,88.02179
168,26.44774,87.89916
169,26.44780,87.35699
170,26.44801,87.82742
171,26.44851,87.20408
172,26.44872,87.49947
173,26.44913,87.68657
174,26.44933,87.95171
175,26.44956,86.86037
176,26.44978,87.67578
177,26.45002,87.63769
178,26.45084,87.16546
179,26.45097,86.82392
180,26.45102,87.97365
181,26.45108,87.51287
182,26.45119,87.74807
183,26.45141,87.29089
184,26.45164,87.64550
185,26.45200,86.72148
186,26.45233,86.74181
187,26.45282,87.10811
188,26.45289,87.91997
189,26.45333,87.08222
190,26.45356,87.22661
191,26.45382,87.48248
192,26.45393,86.63767
193,26.45393,87.15068
194,26.45425,87.41925
195,26.45435,87.62052
196,26.45458,87.60115
197,26.45473,87.36970
198,26.45496,87.66213
199,26.45515,87.46602
200,26.45525,87.55727
201,26.45599,87.34845
202,26.45629,87.93914
203,26.45650,88.05667
204,26.45665,87.76622
205,26.45676,86.81617
206,26.45776,87.25427
207,26.45780,88.08086
208,26.45784,87.09832
209,26.45818,86.88763
210,26.45969,87.33012
211,26.46035,87.78331
212,26.46051,87.57866
213,26.46098,86.84883
214,26.46189,87.79636
215,26.46202,87.91884
216,26.46205,87.96554
217,26.46214,86.80153
218,26.46218,87.45029
219,26.46225,86.67519
220,26.46253,87.90589
221,26.46297,87.43509
222,26.46306,88.10860
223,26.46317,87.98917
224,26.46343,87.22511
225,26.46388,87.54815
226,26.46396,87.16945
227,26.46422,87.39977
228,26.46446,87.10721
229,26.46452,87.67118
230,26.46482,87.38418
231,26.46509,86.77772
232,26.46522,87.26439
233,26.46562,87.15636
234,26.46585,86.81445
235,26.46594,87.72507
236,26.46614,87.12301
237,26.46623,86.88241
238,26.46663,87.75027
239,26.46677,86.75039
240,26.46695,87.42356
241,26.46698,87.51610
242,26.46700,87.22404
243,26.46721,87.77250
244,26.46749,87.11012
245,26.46758,86.73044
246,26.46759,87.27479
247,26.46776,87.56921
248,26.46779,88.04748
249,26.46794,87.47821
250,26.46809,87.21494
251,26.46856,87.07371
252,26.46876,87.92636
253,26.46897,87.97558
254,26.46958,88.09539
255,26.46989,87.33714
256,26.46998,87.84747
257,26.47006,87.53719
258,26.47113,87.60434
259,26.47136,86.62300
260,26.47138,87.30782
261,26.47170,86.80795
262,26.47191,88.01023
263,26.47217,87.87989
264,26.47221,87.26654
265,26.47252,87.11990
266,26.47254,87.50208
267,26.47259,87.09454
268,26.47266,87.23932
269,26.47273,86.65493
270,26.47283,87.61569
271,26.47290,87.66633
272,26.47297,87.38779
273,26.47346,86.69526
274,26.47386,88.03542
275,26.47405,87.73632
276,26.47459,87.59501
277,26.47461,87.43342
278,26.47522,87.46596
279,26.47526,87.67777
280,26.47542,87.18165
281,26.47687,87.93598
282,26.47708,86.62538
283,26.47720,87.29284
284,26.47782,87.65866
285,26.47813,87.90636
286,26.47832,87.77424
287,26.47839,86.88625
288,26.47850,86.73012
289,26.47864,87.70438
290,26.47912,88.11315
291,26.47975,87.75664
292,26.47977,87.77964
293,26.47996,86.60803
294,26.48000,87.69800
295,26.48009,88.10294
296,26.48056,86.70974
297,26.48096,86.76100
298,26.48113,87.45113
299,26.48123,86.82765
300,26.48137,87.12926
301,26.48161,86.64224
302,26.48201,87.13781
303,26.48207,87.95527
304,26.48272,87.16614
305,26.48298,87.37853
306,26.48328,87.15345
307,26.48332,87.93294
308,26.48335,86.90712
309,26.48340,86.71824
310,26.48365,87.48556
311,26.48381,87.32009
312,26.48383,87.11853
313,26.48385,86.78776
314,26.48389,87.21154
315,26.48414,87.88964
316,26.48432,86.73748
317,26.48435,86.59130
318,26.48443,87.40310
319,26.48449,87.57530
320,26.48453,86.84310
321,26.48466,87.19470
322,26.48495,86.92492
323,26.48536,87.93611
324,26.48539,87.82896
325,26.48563,88.09824
326,26.48607,87.45988
327,26.48643,86.62867
328,26.48660,87.09292
329,26.48671,87.25421
330,26.48698,87.84841
331,26.48755,87.43785
332,26.48757,86.87785
333,26.48758,87.23368
334,26.48761,87.85859
335,26.48772,87.64859
336,26.48835,86.79262
337,26.48844,87.87025
338,26.48873,87.39133
339,26.48880,87.36189
340,26.48892,87.10958
341,26.48895,87.75067
342,26.48898,86.61576
343,26.48917,87.10470
344,26.48959,87.20726
345,26.49034,87.49142
346,26.49040,87.34766
347,26.49062,87.83956
348,26.49069,87.33422
349,26.49075,87.70446
350,26.49078,87.91356
351,26.49127,87.27628
352,26.49137,87.55934
353,26.49166,87.84735
354,26.49168,87.98805
355,26.49182,86.60459
356,26.49191,87.25559
357,26.49198,86.72991
358,26.49200,86.86592
359,26.49224,86.95195
360,26.49287,87.77033
361,26.49297,86.80168
362,26.49329,87.73812
363,26.49353,87.49929
364,26.49356,88.07608
365,26.49371,87.55617
366,26.49392,87.48014
367,26.49396,86.68659
368,26.49423,87.16362
